OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,AUDI_ACC,y_pred,exp(test_y),exp(y_pred)
7,124,한국,(주)쇼박스,사극,12세이상관람가,1,5.73657229747919,8.91004576147356,15.169285601338,14.9171157947427,3872015,3008992.29435355
18,135,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,15세이상관람가,0,7.15539630189673,8.74113642290101,15.163436422691,14.8119693142742,3849433,2708672.75416491
20,120,미국,워너브러더스 코리아(주),액션,15세이상관람가,1,5.54126354515843,7.60339933974067,15.1616183996901,14.687518834662,3842441,2391709.24760966
40,140,한국,씨제이이앤엠(주),사극,15세이상관람가,0,6.56667242980324,9.0835292051098,15.1583469012218,15.0423680089959,3829891,3410495.03062889
20,117,미국,이십세기폭스코리아(주),액션,청소년관람불가,1,5.29330482472449,7.60688453121963,15.1464512874094,14.6455670086991,3784602,2293448.20344643
40,109,한국,(주)쇼박스,범죄,15세이상관람가,0,5.79605775076537,7.29573507274928,15.1432802782634,14.5955641690696,3772620,2181589.21977257
48,114,한국,씨제이이앤엠(주),드라마,12세이상관람가,0,5.74300318780948,7.06646697013696,15.1385943158732,14.4413138389222,3754983,1869747.28674846
23,110,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,0,5.8664680569333,8.7815554585464,15.1209540724543,14.4253488448444,3689325,1840133.80094159
15,136,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,1,5.79301360838414,9.19695113485717,15.111124455585,14.8610246864337,3653238,2844860.77164208
1,106,일본,메가박스중앙(주)플러스엠,애니메이션,12세이상관람가,0,7.77148876011762,10.0098275883075,15.1067032675363,13.718019517699,3637122,907110.468988589
39,121,미국,워너브러더스 코리아(주),코미디,12세이상관람가,0,4.9416424226093,8.56101867095627,15.0993961538327,14.1491286828504,3610642,1396009.94031746
49,127,미국,판씨네마(주),드라마,12세이상관람가,0,4.64439089914137,7.84971375760487,15.0956643770626,13.3599870339784,3597193,634115.90614794
8,127,한국,(주)와우픽쳐스,드라마,15세이상관람가,1,7.3038432252777,10.7724141030439,15.0926937674655,14.8899037153549,3586523,2928215.39538401
41,127,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,0,5.9427993751267,0,15.0907800579351,14.5273626625396,3579666,2037761.91390908
27,117,한국,(주)쇼박스,범죄,청소년관람불가,0,6.20050917404269,7.78613643778307,15.0858672733978,14.7740979973963,3562123,2608009.89833752
2,126,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,전체관람가,0,6.23244801655052,8.40447232135212,15.0711314387352,14.6684319379257,3510017,2346491.84289756
3,100,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,0,5.67332326717149,0,15.0541575054402,13.6410530948327,3450941,839912.580720274
22,110,한국,(주)쇼박스,액션,15세이상관람가,0,6.90274273715859,7.18538701558042,15.0539262374239,14.7327812132336,3450143,2502451.00919242
33,103,미국,판씨네마(주),멜로,15세이상관람가,0,6.11809719804135,7.15148546390474,15.0473311870812,13.5250455521423,3427464,747915.701549374
36,121,한국,씨제이이앤엠(주),액션,15세이상관람가,0,6.62671774924902,0,15.0462966514848,14.8905524778578,3423920,2930115.72809862
3,120,한국,씨제이이앤엠(주),코미디,12세이상관람가,0,5.77144112313002,8.67060073804555,15.0444575937588,14.6207471704866,3417629,2237225.79183656
28,163,한국,씨제이엔터테인먼트,드라마,청소년관람불가,0,6.51025834052315,0,15.0416784195598,14.6843753473631,3408144,2384202.74444713
12,115,한국,(주)쇼박스,범죄,15세이상관람가,0,5.14166355650266,7.73105314400713,15.0360590238225,14.6129285504553,3389046,2219801.97729955
24,120,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세이상관람가,0,8.11790894238315,0,15.0350730097897,14.6289402251175,3385706,2255630.79862908
21,106,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,1,5.71373280550937,0,15.0333158507788,14.8484617300296,3379762,2809344.47177623
49,123,영국,유니버설픽쳐스인터내셔널 코리아(유),멜로,15세이상관람가,0,5.69035945432406,0,15.0321236363564,13.4077924927187,3375735,665166.38591045
30,89,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,전체관람가,0,5.2040066870768,8.96992349199152,15.016938426687,14.46631398466,3324861,1917080.44405382
7,107,미국,이십세기폭스코리아(주),액션,청소년관람불가,1,7.22766249872865,9.58884529850156,15.0146304057222,14.6680863611802,3317196,2345681.08997983
38,118,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,12세이상관람가,0,6.12249280951439,8.76045304631527,15.003428062982,14.4656184154731,3280243,1915747.44561811
51,135,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,1,6.41017488196617,9.55888233268473,15.0014860783805,15.0706570618565,3273879,3508352.32396474
14,137,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,1,6.58479139238572,8.93603509656604,14.9934138872596,14.7558960161443,3247558,2560968.37431058
27,125,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,1,7.16549347506085,10.2454447193879,14.9908897331192,14.8353282818828,3239371,2772689.3229559
42,90,미국,기타,SF,12세이상관람가,0,6.36647044773144,0,14.9872035294002,12.1699744624426,3227452,192909.117354019
