"OPEN_MONTH","OPEN_QUARTER","SHOW_TM","NATION_NM","TOP_COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","SERIES","NAVER_CMT_NN","NAVER_EX_PT","ORI_BOOK","AUDI_ACC","AUDI_ACC_PRED"
"1","1",97,"미국","이십세기폭스코리아(주)","어드벤처","전체관람가","1",2.22530928172586,3.51507867507592,"0",1101678,418730.936629084
"3","1",110,"미국","유니버설픽쳐스인터내셔널 코리아(유)","액션","15세이상관람가","0",2.56702636615906,3.56714404519566,"0",1077235,682746.016746787
"4","2",90,"한국","기타","미스터리","청소년관람불가","0",2.06818586174616,3.63888842470508,"0",1061412,70014.3359319601
"11","4",91,"한국","기타","스릴러","15세이상관람가","0",3.14363923527454,0,"0",975462,81905.2095455928
"10","4",101,"한국","기타","코미디","12세이상관람가","0",2.22788670461367,3.76267856372744,"0",970373,152194.01272541
"2","1",114,"미국","워너브러더스 코리아(주)","판타지","12세이상관람가","0",2.15836249209525,0,"0",956154,194181.440397704
"5","2",119,"한국","씨제이이앤엠(주)","범죄","청소년관람불가","0",3.00603795499732,3.48315920971698,"0",951797,1253060.13181539
"3","1",116,"미국","유니버설픽쳐스인터내셔널 코리아(유)","공포","15세이상관람가","0",1.94939000664491,2.71683772329952,"0",936431.000000001,100789.320335644
"10","4",98,"미국","워너브러더스 코리아(주)","공포","15세이상관람가","1",2.10037054511756,3.78958071216443,"0",925812.999999999,396593.246748435
"9","3",134,"미국","워너브러더스 코리아(주)","공포","15세이상관람가","1",2.31175386105575,3.79712898779655,"1",888386,1133549.66202288
"1","1",91,"미국","기타","애니메이션","전체관람가","1",2.26007138798507,0,"0",884885,422757.385134107
"8","3",84,"한국","(주)넥스트엔터테인먼트월드(NEW)","애니메이션","전체관람가","0",1.41497334797082,2.31386722036915,"0",874967,86899.5017761675
"11","4",93,"미국","기타","액션","12세이상관람가","1",2.78532983501077,0,"0",873079.000000001,316636.78102428
"6","2",109,"미국","워너브러더스 코리아(주)","액션","12세이상관람가","0",2.02530586526477,3.42176840120692,"0",858402.000000001,333871.902730011
"5","2",129,"한국","이십세기폭스코리아(주)","드라마","15세이상관람가","0",2.71011736511182,3.46686762035411,"0",837500.000000001,1096780.11330796
"3","1",132,"미국","기타","SF","12세이상관람가","0",2.06818586174616,0,"1",837426,186056.582560861
"5","2",117,"한국","롯데쇼핑㈜롯데엔터테인먼트","코미디","15세이상관람가","0",2.06069784035361,0,"0",831804,735933.334408546
"7","3",107,"한국","씨제이이앤엠(주)","판타지","15세이상관람가","0",2.41497334797082,3.89103541531531,"0",827918,619832.560801299
"9","3",112,"영국","기타","액션","15세이상관람가","0",2.01283722470517,3.17026171539496,"0",821419.000000001,56074.5294685017
"9","3",122,"미국","유니버설픽쳐스인터내셔널 코리아(유)","코미디","15세이상관람가","1",2.80208925788173,3.54654266347813,"1",820994.999999999,812647.296701137
"12","4",127,"한국","기타","사극","15세이상관람가","0",2.72015930340596,3.94185912652537,"0",790157.999999999,1622009.57085636
"1","1",130,"미국","씨제이이앤엠(주)","액션","15세이상관람가","1",2.3654879848909,0,"0",784030.999999999,1067858.53475586
"2","1",108,"한국","롯데쇼핑㈜롯데엔터테인먼트","드라마","청소년관람불가","0",2.33645973384853,0,"0",773996,408387.338155531
"5","2",101,"미국","이십세기폭스코리아(주)","애니메이션","전체관람가","1",3.21853550521653,2.9731278535997,"0",761403.999999999,711558.881846822
"11","4",123,"한국","씨제이이앤엠(주)","스릴러","청소년관람불가","0",2.72997428569956,0,"0",731212,659117.148656689
"3","1",113,"미국","기타","멜로","전체관람가","0",2.22788670461367,3.66903780088516,"0",716386,320663.095041987
"8","3",125,"한국","기타","드라마","12세이상관람가","1",3.2405492482826,3.86278709823534,"0",703024,1407636.86580257
"2","1",90,"미국","기타","애니메이션","전체관람가","0",2.40140054078154,0,"1",665096,134436.186726127
"11","4",106,"한국","(주)넥스트엔터테인먼트월드(NEW)","드라마","15세이상관람가","0",2.64443858946784,3.94146173934733,"1",654407,499837.650001418
"2","1",103,"미국","기타","액션","12세이상관람가","0",2.09691001300806,0,"1",654386,86603.9951410356
"6","2",92,"한국","롯데쇼핑㈜롯데엔터테인먼트","액션","15세이상관람가","0",2.59439255037543,3.71683772329952,"0",645922,442405.715941808
"8","3",109,"일본","기타","애니메이션","전체관람가","1",3.10174707394637,0,"0",644216,106231.075998451
