OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,AUDI_ACC,y_pred,exp(train_y),exp(y_pred)
41,112,한국,(주)쇼박스,코미디,15세이상관람가,0,7.67042852219069,9.66567442723748,15.7565095240217,14.8774343501978,6965706,2891929.11198273
23,123,한국,(주)쇼박스,액션,15세이상관람가,0,9.46343099965834,0,15.7547988307107,15.0839397078449,6953800,3555263.38770998
19,156,한국,이십세기폭스코리아(주),미스터리,15세이상관람가,0,6.69208374250663,9.65310126482804,15.7438768524887,14.959245770296,6878264,3138469.3481659
40,121,한국,메가박스중앙(주)플러스엠,범죄,청소년관람불가,0,7.09672137849476,8.93155196669452,15.739948535381,14.8893076882188,6851297,2926470.61956637
44,124,한국,씨제이이앤엠(주),멜로,15세이상관람가,0,7.06133436691044,0,15.7108545166489,14.630806240508,6654837,2259843.76992669
30,132,한국,씨제이이앤엠(주),액션,15세이상관람가,0,8.12148037475075,11.4903730604997,15.7013902568625,15.7534364517419,6592151,6944332.73958917
30,147,미국,롯데컬처웍스(주)롯데엔터테인먼트,액션,15세이상관람가,1,5.17614973257383,7.24636808010246,15.7002919849517,14.6419337556978,6584915,2285130.64492483
29,164,미국,워너브러더스 코리아(주),액션,15세이상관람가,1,7.49609734517596,0,15.6712659011235,15.1941539611043,6396528,3969512.94438999
31,119,한국,씨제이엔터테인먼트,액션,청소년관람불가,0,6.4393503711001,0,15.6533221606602,14.887692349762,6282774,2921747.19502377
38,125,한국,(주)쇼박스,사극,12세이상관람가,0,6.32076829425058,10.0194467037037,15.6475877345812,15.2668829791012,6246849,4268969.32034876
31,131,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,1,6.01126717440416,9.06253617720779,15.6281322236657,15.0126108572863,6126488,3310503.52217276
7,128,미국,이십세기폭스코리아(주),액션,청소년관람불가,1,5.12396397940326,7.81601383915903,15.6279144569361,14.655728339836,6125154,2316871.49445237
26,130,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12세이상관람가,0,8.56445838388335,10.2620706747442,15.6144869226422,14.9675065911049,6043458,3164503.06294442
29,147,미국,워너브러더스 코리아(주),드라마,12세이상관람가,0,6.38856140554563,0,15.5950199673217,14.8483961216614,5926948,2809160.16131593
51,158,미국,유니버설픽쳐스인터내셔널 코리아(유),드라마,12세이상관람가,0,6.44094654063292,0,15.5924761352124,14.4367070849838,5911890,1861153.63069876
23,127,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12세이상관람가,1,5.4380793089232,8.21689858091361,15.5491337236093,14.5740819241118,5661128,2135223.58776877
32,108,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,0,7.26473017792987,9.70619447981203,15.5447311055225,15.0186297477923,5636259,3330489.1657578
33,107,한국,(주)넥스트엔터테인먼트월드(NEW),스릴러,15세이상관람가,0,6.52502965784346,0,15.5387311597728,14.5318502940465,5602543,2046927.18828305
31,126,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,12세이상관람가,0,7.52671756135271,9.92073790594266,15.5371248849535,15.4722981542134,5593551,5242442.92235722
31,97,한국,롯데쇼핑㈜롯데엔터테인먼트,범죄,15세이상관람가,0,7.62608275807238,0,15.5353435712368,14.2435821600734,5583596,1534295.93585963
24,124,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12세이상관람가,1,6.79570577517351,9.64614067988042,15.5287303005878,14.77125572731,5546792,2600607.75424827
10,123,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,0,7.67786350067821,7.99598047476376,15.5276779679615,14.6365679465159,5540958,2272901.90780407
5,116,한국,(주)쇼박스,드라마,15세이상관람가,0,6.27852142416584,0,15.5215498162889,14.8175700270105,5507106,2723885.81438071
27,118,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,0,7.00124562206948,0,15.5196306348605,15.0077612968022,5496547,3294487.9008596
27,118,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1,5.30826769740121,7.48493028328966,15.5107271879755,14.5741623032986,5447826,2135395.22220222
43,114,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,0,6.7093043402583,9.78751537628371,15.5104615421558,14.8649173661906,5446379,2855956.48559873
45,108,한국,씨제이이앤엠(주),미스터리,15세이상관람가,0,6.24804287450843,9.6752058233658,15.509463316981,14.6385156192863,5440945,2277333.09080605
38,135,한국,(주)넥스트엔터테인먼트월드(NEW),사극,12세이상관람가,0,6.4085287910595,7.81116338502528,15.5093238094241,15.0466980527438,5440186,3425294.64167151
7,134,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1,5.96100533962327,8.92225821950306,15.5017231978829,15.0605235959908,5398994,3472980.07984816
3,134,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,0,6.99025650049388,9.78013277350602,15.4862928331392,15.0797634716786,5316325,3540446.72863807
42,107,한국,씨제이이앤엠(주),드라마,12세이상관람가,0,6.58617165485467,0,15.4851984338038,14.0034964227399,5310510,1206816.45660767
26,164,미국,씨제이이앤엠(주),액션,12세이상관람가,1,8.17018565287964,8.98819632099506,15.4824248003643,15.1478188416576,5295801,3789781.1891469
44,115,한국,롯데컬처웍스(주)롯데엔터테인먼트,드라마,15세이상관람가,0,4.8283137373023,6.41017488196617,15.4821071397938,13.8033953475573,5294119,987957.883275085
25,115,미국,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세이상관람가,0,6.90875477931522,0,15.4713596164708,14.1747716445167,5237525,1432270.69937867
52,121,한국,씨제이이앤엠(주),드라마,12세이상관람가,0,7.25276241805319,0,15.4605113479743,14.9863366388094,5181014,3224655.36459256
11,129,미국,월트디즈니컴퍼니코리아 유한책임회사,멜로,전체관람가,0,5.29330482472449,9.09313217107064,15.4521730942532,14.3161425104831,5137993,1649763.51354935
21,123,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,0,5.57972982598622,7.90211754627645,15.4375922004961,14.5717984556255,5063620,2130353.43453181
21,91,미국,씨제이이앤엠(주),애니메이션,전체관람가,1,6.42971947803914,0,15.4374148412873,14.2328062468779,5062722,1517851.25837692
51,143,미국,워너브러더스 코리아(주),액션,12세이상관람가,1,5.32300997913841,6.72503364216684,15.4325463333973,14.7233975946324,5038134,2479078.79283401
32,137,한국,씨제이이앤엠(주),드라마,12세이상관람가,0,5.53733426701854,7.79852305362521,15.4191840882247,14.5856658651826,4971261,2160101.7071226
28,101,미국,월트디즈니컴퍼니코리아(주),애니메이션,전체관람가,0,5.0998664278242,8.03980234373648,15.4186661780591,14.1093986714898,4968687,1341633.78459481
39,140,미국,이십세기폭스코리아(주),액션,청소년관람불가,0,6.49828214947643,10.1225427579417,15.4139853948924,14.8953379712774,4945484,2944171.38243069
32,121,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,12세이상관람가,0,4.85203026391962,0,15.4042458422229,14.6255219903716,4897551,2247933.68582311
41,142,미국,이십세기폭스코리아(주),액션,12세이상관람가,0,6.42486902390539,8.82644104178258,15.3997319906135,14.8440730515797,4875494,2797042.1773875
43,130,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1,6.24416690066374,9.49092229793766,15.3959628158763,15.0216702402182,4857152,3340630.90296535
26,136,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,1,6.96885037834195,0,15.3951329732135,14.9681506423548,4853123,3166541.82155955
