"OPEN_MONTH","OPEN_QUARTER","SHOW_TM","NATION_NM","TOP_COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","SERIES","NAVER_CMT_NN","NAVER_EX_PT","ORI_BOOK","AUDI_ACC"
"4","2",136,"미국","유니버설픽쳐스인터내셔널 코리아(유)","액션","15세이상관람가","1",328,9867,"0",3653238
"1","1",106,"일본","기타","애니메이션","12세이상관람가","0",2372,22244,"1",3637122
"9","3",121,"미국","워너브러더스 코리아(주)","코미디","12세이상관람가","0",140,5224,"0",3610642
"12","4",127,"미국","기타","드라마","12세이상관람가","0",104,2565,"0",3597193
"2","1",127,"한국","기타","드라마","15세이상관람가","1",1486,47687,"0",3586523
"10","4",127,"미국","기타","액션","12세이상관람가","0",381,0,"1",3579666
"7","3",117,"한국","기타","범죄","청소년관람불가","0",493,2407,"0",3562123
"1","1",126,"미국","기타","애니메이션","전체관람가","0",509,4467,"0",3510017
"1","1",100,"한국","(주)넥스트엔터테인먼트월드(NEW)","드라마","15세이상관람가","0",291,0,"0",3450941
"5","2",110,"한국","기타","액션","15세이상관람가","0",995,1320,"0",3450143
"8","3",103,"미국","기타","멜로","15세이상관람가","0",454,1276,"0",3427464
"9","3",121,"한국","씨제이이앤엠(주)","액션","15세이상관람가","0",755,0,"0",3423920
"1","1",120,"한국","씨제이이앤엠(주)","코미디","12세이상관람가","0",321,5829,"0",3417629
"7","3",163,"한국","기타","드라마","청소년관람불가","0",672,0,"1",3408144
"3","1",115,"한국","기타","범죄","15세이상관람가","0",171,2278,"1",3389046
"6","2",120,"한국","롯데쇼핑㈜롯데엔터테인먼트","드라마","12세이상관람가","0",3354,0,"0",3385706
"5","2",106,"미국","기타","액션","12세이상관람가","1",303,0,"0",3379762
"12","4",123,"영국","유니버설픽쳐스인터내셔널 코리아(유)","멜로","15세이상관람가","0",296,0,"0",3375735
"7","3",89,"미국","유니버설픽쳐스인터내셔널 코리아(유)","애니메이션","전체관람가","0",182,7863,"0",3324861
"2","1",107,"미국","이십세기폭스코리아(주)","액션","청소년관람불가","1",1377,14601,"0",3317196
"9","3",118,"한국","기타","코미디","12세이상관람가","0",456,6377,"0",3280243
"12","4",135,"미국","기타","액션","12세이상관람가","1",608,14170,"0",3273879
"4","2",137,"미국","유니버설픽쳐스인터내셔널 코리아(유)","액션","15세이상관람가","1",724,7601,"0",3247558
"7","3",125,"미국","롯데쇼핑㈜롯데엔터테인먼트","액션","15세이상관람가","1",1294,28154,"0",3239371
"10","4",90,"미국","기타","SF","12세이상관람가","0",582,0,"0",3227452
"6","2",125,"한국","워너브러더스 코리아(주)","미스터리","15세이상관람가","0",79,275,"0",3189091
"6","2",116,"한국","씨제이이앤엠(주)","코미디","15세이상관람가","1",157,760,"0",3148038
"5","2",137,"미국","기타","액션","12세이상관람가","1",1022,0,"1",3130046
"7","3",115,"한국","씨제이이앤엠(주)","코미디","15세이상관람가","0",414,0,"0",3125069
"8","3",121,"한국","기타","드라마","15세이상관람가","0",2066,0,"0",3119023
"7","3",129,"미국","롯데쇼핑㈜롯데엔터테인먼트","범죄","12세이상관람가","1",1293,9865,"0",3100113
"1","1",115,"한국","기타","드라마","12세이상관람가","0",800,0,"0",3068544
"5","2",128,"미국","기타","액션","12세이상관람가","1",996,12939,"0",3049894
"3","1",115,"한국","(주)넥스트엔터테인먼트월드(NEW)","코미디","15세이상관람가","0",813,27413,"0",3044134
"10","4",111,"미국","기타","액션","12세이상관람가","1",717,0,"0",3039889
"6","2",124,"한국","기타","사극","청소년관람불가","0",195,0,"0",3035116
"7","3",125,"미국","기타","애니메이션","전체관람가","1",152,1400,"0",3033052
"7","3",115,"미국","롯데쇼핑㈜롯데엔터테인먼트","액션","15세이상관람가","1",393,0,"0",3004647
"12","4",114,"한국","씨제이이앤엠(주)","공포","12세이상관람가","0",289,0,"0",3001530
"7","3",101,"미국","씨제이이앤엠(주)","애니메이션","전체관람가","1",680,4265,"0",3000056
"11","4",109,"한국","씨제이이앤엠(주)","코미디","12세이상관람가","0",819,25600,"0",2982022
"11","4",123,"한국","롯데쇼핑㈜롯데엔터테인먼트","액션","청소년관람불가","1",2140,0,"0",2971475
"11","4",135,"한국","기타","액션","15세이상관람가","0",15748,0,"1",2963449
"8","3",102,"미국","기타","드라마","12세이상관람가","0",24,175,"0",2949944
"7","3",133,"한국","기타","드라마","15세이상관람가","0",551,0,"0",2945137
"5","2",145,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","1",754,14705,"0",2938818
"3","1",124,"한국","기타","범죄","청소년관람불가","0",1488,8022,"0",2931897
"7","3",99,"미국","기타","스릴러","15세이상관람가","0",119,0,"0",2921331
"12","4",111,"한국","(주)넥스트엔터테인먼트월드(NEW)","코미디","12세이상관람가","0",495,0,"0",2897477
"6","2",107,"한국","기타","드라마","15세이상관람가","0",235,9189,"1",2860786
"4","2",98,"한국","씨제이이앤엠(주)","액션","15세이상관람가","0",247,1717,"0",2841788
"9","3",116,"미국","기타","액션","12세이상관람가","1",411,6457,"1",2839921
"12","4",144,"미국","워너브러더스 코리아(주)","어드벤처","12세이상관람가","1",891,16936,"0",2836774
