TOP_DIRECTOR,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,TOP_ACTOR,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
기타,2,1,7,89,미국,기타,애니메이션,전체관람가,기타,,96,0,0,37547
기타,9,3,39,95,한국,기타,다큐멘터리,전체관람가,기타,0,70,834,1,37449
기타,4,2,16,97,프랑스,기타,애니메이션,전체관람가,기타,,41,41,0,37343
기타,12,4,52,87,일본,기타,애니메이션,12세이상관람가,기타,,54,2656,0,37329
기타,1,1,3,125,영국,유니버설픽쳐스인터내셔널 코리아(유),드라마,12세이상관람가,기타,0,42,494,0,37300
기타,11,4,47,95,캐나다,기타,드라마,15세이상관람가,기타,0,39,123,0,37241
요네바야시 히로마사,3,1,12,102,일본,기타,애니메이션,전체관람가,기타,0,120,1263,1,37182
기타,7,3,28,105,미국,롯데쇼핑㈜롯데엔터테인먼트,스릴러,청소년관람불가,주드 로,,146,0,0,37134
기타,5,2,18,89,일본,기타,애니메이션,전체관람가,기타,0,53,0,0,37112
기타,9,3,37,80,한국,기타,드라마,청소년관람불가,이선균,0,22,0,0,37086
기타,10,4,41,81,기타,(주)인벤트스톤,애니메이션,전체관람가,기타,,22,0,0,36811
기타,4,2,17,118,독일,씨너스엔터테인먼트(주),드라마,15세이상관람가,기타,,58,333,0,36808
기타,4,2,14,108,한국,기타,코미디,15세이상관람가,기타,0,425,1123,0,36792
기타,2,1,8,85,중국,기타,애니메이션,전체관람가,기타,,9,26,0,36737
기타,6,2,23,90,일본,씨제이이앤엠(주),애니메이션,전체관람가,기타,,148,0,0,36492
기타,2,1,6,134,프랑스,기타,스릴러,15세이상관람가,기타,,144,1098,0,36485
기타,1,1,4,73,미국,기타,애니메이션,전체관람가,기타,,15,0,0,36420
기타,6,2,25,99,미국,기타,공포,청소년관람불가,기타,0,66,754,0,36350
기타,6,2,23,75,중국,기타,애니메이션,전체관람가,기타,0,12,24,0,36308
기타,12,4,49,102,미국,기타,드라마,15세이상관람가,기타,,27,0,0,36068
기타,6,2,23,105,일본,기타,공포,15세이상관람가,기타,,49,680,0,35984
기타,6,2,24,97,한국,기타,드라마,전체관람가,기타,0,15,236,0,35907
기타,2,1,7,99,일본,기타,애니메이션,전체관람가,기타,1,127,324,0,35869
기타,8,3,33,107,한국,기타,다큐멘터리,전체관람가,기타,0,126,3879,0,35857
피터 잭슨,1,1,2,228,기타,기타,판타지,12세이상관람가,기타,,,,,35758
기타,3,1,12,83,한국,롯데쇼핑㈜롯데엔터테인먼트,애니메이션,전체관람가,기타,,70,0,0,35578
기타,8,3,33,73,한국,기타,애니메이션,전체관람가,기타,0,22,416,0,35569
기타,2,1,7,83,미국,기타,애니메이션,전체관람가,기타,1,142,892,0,35517
기타,4,2,15,91,한국,기타,애니메이션,전체관람가,기타,,51,335,0,35436
기타,10,4,42,113,일본,기타,드라마,12세이상관람가,기타,,96,1267,1,35429
기타,1,1,5,94,미국,기타,코미디,15세이상관람가,기타,0,99,0,0,35328
기타,1,1,3,92,미국,기타,드라마,12세이상관람가,기타,0,47,306,1,35318
기타,9,3,39,118,미국,기타,드라마,15세이상관람가,기타,,73,670,0,35296
기타,12,4,50,124,일본,기타,스릴러,15세이상관람가,기타,0,71,536,0,35271
기타,2,1,7,111,미국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세이상관람가,기타,,45,0,0,35241
기타,6,2,24,130,프랑스,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,드라마,청소년관람불가,기타,,51,261,0,35122
기타,1,1,4,79,러시아,기타,애니메이션,전체관람가,기타,,47,182,0,35111
기타,8,3,34,107,대만,기타,멜로,15세이상관람가,기타,,42,25,1,34995
기타,1,1,4,82,프랑스,롯데쇼핑㈜롯데엔터테인먼트,애니메이션,전체관람가,기타,,146,0,0,34984
기타,11,4,47,75,인도,기타,애니메이션,전체관람가,기타,0,158,219,0,34899
기타,7,3,28,108,일본,기타,판타지,전체관람가,기타,0,34,425,1,34897
기타,5,2,18,78,스웨덴,씨너스엔터테인먼트(주),애니메이션,전체관람가,기타,,105,175,0,34888
기타,2,1,9,90,한국,기타,드라마,청소년관람불가,기타,0,56,0,0,34876
기타,10,4,42,117,일본,(주)넥스트엔터테인먼트월드(NEW),애니메이션,전체관람가,기타,0,30,165,1,34795
기타,9,3,36,87,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,청소년관람불가,기타,0,416,0,0,34740
기타,1,1,4,115,덴마크,기타,드라마,15세이상관람가,기타,,191,0,0,34724
기타,5,2,20,87,한국,기타,다큐멘터리,전체관람가,기타,,230,0,0,34688
기타,10,4,43,92,미국,기타,멜로,12세이상관람가,더스틴 호프만,,125,0,0,34670
기타,2,1,9,133,미국,기타,범죄,15세이상관람가,기타,0,116,202,0,34631
기타,6,2,26,123,미국,판씨네마(주),드라마,12세이상관람가,기타,,15,0,0,34625
기타,1,1,2,116,미국,유니버설픽쳐스인터내셔널 코리아(유),드라마,청소년관람불가,기타,,51,395,1,34616
기타,4,2,14,120,미국,기타,드라마,12세이상관람가,기타,1,66,388,0,34584
기타,4,2,16,115,미국,CGV아트하우스,드라마,15세이상관람가,기타,0,71,300,0,34517
기타,4,2,16,97,영국,씨네그루(주)다우기술,드라마,12세이상관람가,기타,0,77,353,1,34501
기타,1,1,4,66,프랑스,기타,애니메이션,전체관람가,기타,,237,1104,0,34466
기타,3,1,12,105,미국,유니버설픽쳐스인터내셔널 코리아(유),코미디,12세이상관람가,기타,0,64,471,0,34295
기타,1,1,3,120,이탈리아,기타,드라마,청소년관람불가,기타,0,2,0,0,34269
기타,4,2,16,102,한국,기타,다큐멘터리,15세이상관람가,기타,0,3427,20349,0,34225
기타,5,2,22,98,미국,씨네그루(주)키다리이엔티,드라마,15세이상관람가,기타,0,89,753,1,34184
기타,6,2,26,87,미국,기타,멜로,청소년관람불가,기타,,80,0,0,33993
마크 웹,10,4,40,101,미국,이십세기폭스코리아(주),드라마,12세이상관람가,크리스 에반스,0,276,2365,0,33901
기타,10,4,44,106,한국,(주)넥스트엔터테인먼트월드(NEW),멜로,15세이상관람가,조승우,0,311,0,0,33884
기타,8,3,34,90,한국,기타,애니메이션,전체관람가,기타,0,103,1618,0,33751
기타,3,1,12,117,일본,기타,애니메이션,15세이상관람가,기타,,36,193,0,33656
기타,1,1,2,123,영국,기타,드라마,15세이상관람가,기타,0,179,0,0,33579
기타,7,3,28,137,미국,기타,드라마,청소년관람불가,기타,0,83,0,0,33505
기타,3,1,10,104,한국,기타,다큐멘터리,15세이상관람가,기타,0,181,0,0,33481
기타,4,2,14,112,미국,씨제이이앤엠(주),판타지,청소년관람불가,제이슨 모모아,,129,0,1,33469
기타,7,3,27,82,독일,기타,애니메이션,전체관람가,기타,,102,214,0,33464
기타,1,1,2,109,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),드라마,12세이상관람가,기타,,42,0,0,33360
기타,11,4,44,108,영국,판씨네마(주),드라마,12세이상관람가,기타,,36,460,1,33188
기타,4,2,17,89,프랑스,기타,드라마,전체관람가,기타,0,115,731,1,33036
기타,4,2,17,91,기타,기타,다큐멘터리,전체관람가,기타,0,122,1036,0,33008
기타,6,2,25,116,한국,씨제이이앤엠(주),다큐멘터리,전체관람가,기타,,471,0,0,32988
기타,6,2,25,101,미국,이십세기폭스코리아(주),코미디,12세이상관람가,기타,0,26,444,0,32789
기타,10,4,42,102,미국,기타,드라마,청소년관람불가,다니엘 래드클리프,,188,2616,0,32668
기타,6,2,24,108,프랑스,판씨네마(주),코미디,12세이상관람가,기타,,12,0,1,32626
기타,12,4,49,71,미국,기타,애니메이션,전체관람가,기타,,53,61,0,32453
페드 알바레즈,11,4,48,115,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,15세이상관람가,기타,1,24,163,1,32418
기타,11,4,44,77,중국,기타,애니메이션,전체관람가,기타,,92,190,0,32350
기타,9,3,39,101,프랑스,기타,드라마,15세이상관람가,기타,0,15,271,0,32307
기타,9,3,38,97,한국,기타,액션,15세이상관람가,기타,0,266,1029,0,32278
기타,4,2,14,99,미국,기타,공포,청소년관람불가,기타,0,34,749,0,32187
기타,12,4,51,123,프랑스,기타,드라마,15세이상관람가,기타,0,67,567,0,32126
기타,5,2,18,99,영국,판씨네마(주),드라마,15세이상관람가,기타,0,14,235,0,32070
기타,8,3,34,61,미국,기타,애니메이션,전체관람가,기타,,53,1087,0,32021
기타,10,4,41,88,한국,기타,애니메이션,전체관람가,기타,0,30,1237,0,31843
기타,6,2,23,130,일본,(주)넥스트엔터테인먼트월드(NEW),애니메이션,전체관람가,기타,,460,2553,0,31805
기타,6,2,23,80,스페인,기타,애니메이션,전체관람가,기타,,18,60,0,31798
기타,3,1,13,105,한국,메가박스중앙(주)플러스엠,가족,15세이상관람가,기타,0,33,204,0,31742
기타,6,2,25,85,한국,(주)인벤트스톤,공포,청소년관람불가,기타,0,590,0,0,31713
기타,8,3,35,91,한국,(주)인벤트스톤,액션,청소년관람불가,기타,0,100,956,0,31640
기타,7,3,31,146,일본,기타,가족,전체관람가,기타,0,93,314,0,31564
기타,8,3,34,92,프랑스,기타,코미디,전체관람가,기타,,56,757,0,31368
기타,4,2,14,82,한국,기타,다큐멘터리,전체관람가,기타,,18,0,0,31265
기타,4,2,17,109,영국,기타,드라마,12세이상관람가,기타,,201,439,0,31172
기타,2,1,8,110,미국,씨제이엔터테인먼트,드라마,15세이상관람가,기타,0,83,0,1,31152
기타,10,4,40,97,미국,CGV아트하우스,드라마,15세이상관람가,기타,,94,1137,0,31101
기타,10,4,43,108,한국,기타,드라마,12세이상관람가,기타,0,18,0,0,31048
리차드 커티스,12,4,51,134,미국,기타,멜로,청소년관람불가,기타,,,,,31032
이창재,12,4,49,94,한국,필라멘트픽쳐스,다큐멘터리,12세이상관람가,기타,0,207,1222,0,31022
기타,3,1,13,119,영국,유니버설픽쳐스인터내셔널 코리아(유),드라마,12세이상관람가,기타,,19,224,0,30833
기타,1,1,3,99,캐나다,기타,드라마,15세이상관람가,기타,0,95,1470,1,30793
기타,9,3,37,106,일본,기타,드라마,12세이상관람가,기타,0,273,6740,0,30714
기타,10,4,44,83,미국,기타,드라마,15세이상관람가,기타,,49,549,0,30656
기타,5,2,22,88,한국,기타,드라마,청소년관람불가,기타,0,20,0,0,30590
기타,2,1,7,81,덴마크,기타,애니메이션,전체관람가,기타,,285,335,0,30534
트래비스 나이트,10,4,43,102,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,전체관람가,기타,0,24,263,0,30525
기타,12,4,50,71,캐나다,기타,애니메이션,전체관람가,기타,,12,119,0,30467
기타,6,2,24,93,프랑스,기타,다큐멘터리,전체관람가,기타,0,14,72,0,30392
기타,8,3,35,102,영국,기타,드라마,청소년관람불가,기타,,21,0,0,30373
피터 잭슨,1,1,4,263,기타,기타,판타지,12세이상관람가,기타,,,,,30349
기타,10,4,43,101,스페인,오퍼스픽쳐스(유),스릴러,15세이상관람가,기타,,226,1153,0,30257
기타,8,3,34,104,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,청소년관람불가,기타,,89,0,0,30221
기타,2,1,8,93,영국,기타,다큐멘터리,전체관람가,이제훈,,16,170,0,30200
기타,5,2,18,122,프랑스,기타,멜로,청소년관람불가,기타,,85,0,0,30193
기타,4,2,16,114,기타,기타,드라마,15세이상관람가,기타,,171,241,0,30181
기타,9,3,39,90,미국,기타,멜로,청소년관람불가,기타,0,100,227,0,30140
기타,2,1,8,110,일본,씨너스엔터테인먼트(주),애니메이션,전체관람가,기타,,956,0,0,30117
기타,9,3,38,109,영국,기타,드라마,15세이상관람가,기타,,8,76,1,29992
기타,10,4,41,87,영국,기타,애니메이션,전체관람가,기타,,39,214,0,29906
기타,11,4,47,133,이탈리아,기타,판타지,청소년관람불가,기타,0,258,844,1,29891
기타,4,2,14,126,미국,기타,드라마,12세이상관람가,기타,0,248,672,0,29728
기타,10,4,42,123,독일,기타,드라마,12세이상관람가,기타,,115,954,0,29710
기타,4,2,13,92,한국,기타,다큐멘터리,전체관람가,기타,,21,0,0,29694
기타,11,4,48,111,미국,워너브러더스 코리아(주),드라마,12세이상관람가,기타,,53,0,0,29648
기타,5,2,19,104,미국,기타,코미디,15세이상관람가,기타,0,668,974,0,29552
기타,9,3,40,96,한국,메가박스중앙(주)플러스엠,다큐멘터리,12세이상관람가,기타,0,171,917,0,29473
기타,1,1,2,96,미국,기타,어드벤처,15세이상관람가,기타,0,170,727,1,29441
기타,4,2,16,131,미국,판씨네마(주),드라마,15세이상관람가,크리스찬 베일,,49,215,0,29354
기타,3,1,12,98,프랑스,기타,어드벤처,전체관람가,기타,1,52,226,0,29308
김홍선,11,4,47,102,한국,기타,사극,15세이상관람가,기타,0,127,1436,0,29294
기타,11,4,47,122,일본,기타,애니메이션,전체관람가,기타,,320,1251,0,29287
기타,10,4,41,97,미국,기타,멜로,12세이상관람가,기타,,16,289,1,29283
기타,11,4,48,105,한국,CGV아트하우스,다큐멘터리,12세이상관람가,기타,0,79,0,0,29281
기타,1,1,3,120,미국,이십세기폭스코리아(주),어드벤처,전체관람가,기타,0,20,59,0,29236
마크 웹,11,4,45,88,미국,기타,멜로,15세이상관람가,기타,,57,687,0,29217
기타,10,4,42,77,중국,기타,애니메이션,전체관람가,기타,,28,63,0,29114
기타,3,1,13,134,일본,기타,범죄,15세이상관람가,기타,1,135,2000,0,28723
기타,11,4,46,112,홍콩,(주)넥스트엔터테인먼트월드(NEW),액션,15세이상관람가,기타,,33,0,0,28698
기타,10,4,42,91,스페인,기타,애니메이션,전체관람가,기타,,23,111,0,28626
기타,3,1,13,141,일본,메가박스중앙(주)플러스엠,스릴러,청소년관람불가,기타,0,76,548,1,28567
기타,2,1,6,133,인도,(주)인벤트스톤,코미디,전체관람가,기타,,65,0,0,28548
기타,11,4,48,131,미국,기타,드라마,15세이상관람가,매튜 매커너히,,146,0,0,28507
기타,4,2,16,123,미국,기타,범죄,15세이상관람가,기타,,45,68,0,28477
기타,3,1,12,92,일본,기타,애니메이션,12세이상관람가,기타,,151,3926,0,28364
기타,11,4,46,102,대만,기타,멜로,12세이상관람가,기타,0,36,465,0,28353
기타,4,2,14,86,한국,오퍼스픽쳐스(유),다큐멘터리,전체관람가,기타,0,276,3618,0,28324
기타,6,2,25,106,미국,유니버설픽쳐스인터내셔널 코리아(유),드라마,12세이상관람가,기타,0,114,2740,0,28220
기타,8,3,34,124,일본,기타,애니메이션,12세이상관람가,기타,,95,665,0,28121
기타,11,4,48,74,러시아,기타,애니메이션,전체관람가,기타,,193,246,0,28082
기타,11,4,45,86,기타,기타,애니메이션,전체관람가,기타,,9,45,0,28064
기타,4,2,16,77,한국,기타,다큐멘터리,전체관람가,기타,0,44,429,0,28016
기타,4,2,14,90,일본,기타,애니메이션,12세이상관람가,기타,,235,216,0,27944
기타,12,4,50,124,미국,유니버설픽쳐스인터내셔널 코리아(유),코미디,청소년관람불가,기타,,357,1104,0,27858
기타,11,4,47,94,미국,(주)제이앤씨미디어그룹,액션,15세이상관람가,기타,0,266,510,0,27854
기타,3,1,11,120,미국,씨네그루(주)키다리이엔티,어드벤처,12세이상관람가,기타,0,113,1410,0,27847
기타,3,1,10,112,미국,씨제이이앤엠(주),드라마,청소년관람불가,기타,0,287,748,1,27840
기타,5,2,19,99,영국,기타,멜로,청소년관람불가,기타,,45,0,0,27642
기타,1,1,2,117,한국,씨제이엔터테인먼트,드라마,12세이상관람가,기타,0,100,0,0,27521
기타,12,4,49,81,기타,기타,애니메이션,전체관람가,기타,,100,0,0,27463
피터 잭슨,1,1,3,235,기타,기타,판타지,12세이상관람가,기타,,,,,27440
기타,11,4,46,96,미국,씨네그루(주)다우기술,드라마,청소년관람불가,기타,,116,642,0,27412
기타,3,1,10,130,미국,유니버설픽쳐스인터내셔널 코리아(유),드라마,15세이상관람가,기타,0,27,143,0,27403
기타,10,4,41,60,영국,기타,애니메이션,전체관람가,기타,,13,227,0,27345
기타,7,3,31,81,프랑스,기타,멜로,청소년관람불가,기타,,35,330,0,27302
기타,7,3,27,83,미국,기타,공포,15세이상관람가,기타,,75,927,0,27279
기타,11,4,46,116,중국,(주)와우픽쳐스,판타지,12세이상관람가,기타,,158,941,0,27257
기타,5,2,20,82,프랑스,기타,멜로,12세이상관람가,기타,0,73,286,0,27203
기타,4,2,15,103,영국,기타,드라마,12세이상관람가,콜린 퍼스,,122,883,0,27167
기타,8,3,35,67,기타,기타,애니메이션,전체관람가,기타,,4,18,0,27128
기타,1,1,2,90,일본,(주)넥스트엔터테인먼트월드(NEW),애니메이션,15세이상관람가,기타,0,180,3034,0,27069
기타,11,4,46,110,한국,기타,드라마,12세이상관람가,기타,0,37,580,0,27046
기타,11,4,48,90,미국,씨너스엔터테인먼트(주),드라마,청소년관람불가,폴 러드,,133,0,0,27010
기타,7,3,31,120,미국,판씨네마(주),드라마,15세이상관람가,기타,,79,290,0,26812
기타,1,1,4,99,기타,기타,드라마,15세이상관람가,기타,0,32,538,0,26758
기타,9,3,36,69,기타,기타,애니메이션,전체관람가,기타,,2,40,0,26739
기타,9,3,37,113,일본,기타,드라마,12세이상관람가,기타,0,42,318,1,26738
기타,2,1,6,88,기타,기타,멜로,15세이상관람가,기타,0,6,41,0,26701
기타,3,1,12,78,중국,기타,애니메이션,전체관람가,기타,,50,156,0,26670
마크 포스터,5,2,21,123,미국,기타,액션,15세이상관람가,기타,,74,0,0,26640
기타,3,1,9,112,미국,기타,멜로,15세이상관람가,기타,,79,0,0,26629
기타,5,2,19,99,일본,기타,애니메이션,12세이상관람가,기타,,84,292,0,26577
기타,2,1,7,91,미국,씨너스엔터테인먼트(주),멜로,15세이상관람가,기타,0,19,0,1,26387
기타,9,3,38,96,기타,기타,액션,15세이상관람가,기타,,26,1057,0,26381
기타,8,3,32,104,독일,기타,다큐멘터리,전체관람가,기타,,14,0,0,26377
기타,4,2,14,108,한국,(주)싸이더스,코미디,15세이상관람가,기타,0,25,0,0,26319
기타,6,2,23,79,일본,기타,애니메이션,전체관람가,기타,,708,0,0,26278
기타,3,1,12,93,미국,기타,액션,15세이상관람가,기타,0,62,453,0,26262
기타,10,4,43,75,기타,기타,애니메이션,전체관람가,기타,,122,213,0,26185
기타,12,4,50,106,대만,기타,멜로,12세이상관람가,기타,0,15,153,0,26101
기타,5,2,18,115,미국,CGV아트하우스,드라마,전체관람가,기타,0,61,99,0,26034
기타,11,4,46,97,아일랜드,기타,코미디,15세이상관람가,다니엘 래드클리프,,212,750,0,25908
기타,6,2,26,68,중국,기타,애니메이션,전체관람가,기타,,35,59,0,25903
기타,4,2,15,118,영국,기타,드라마,12세이상관람가,앤드류 가필드,,23,213,0,25872
기타,11,4,45,89,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,판타지,12세이상관람가,잭 블랙,,19,52,0,25857
기타,10,4,41,86,스웨덴,판씨네마(주),다큐멘터리,전체관람가,기타,,5,0,0,25694
기타,4,2,16,107,한국,CGV아트하우스,드라마,15세이상관람가,임수정,0,29,354,1,25652
기타,11,4,47,82,한국,기타,다큐멘터리,전체관람가,기타,0,8,306,1,25649
기타,3,1,12,120,미국,CGV아트하우스,드라마,15세이상관람가,매튜 매커너히,0,156,299,0,25595
기타,1,1,4,75,중국,기타,애니메이션,전체관람가,기타,,82,148,0,25577
기타,10,4,40,86,러시아,기타,애니메이션,전체관람가,기타,,11,84,0,25556
기타,1,1,1,98,일본,유니버설픽쳐스인터내셔널 코리아(유),공포,15세이상관람가,기타,,574,1994,0,25531
기타,9,3,36,99,영국,기타,뮤지컬,12세이상관람가,기타,,220,291,0,25431
기타,3,1,10,154,프랑스,판씨네마(주),드라마,청소년관람불가,기타,,54,0,0,25309
기타,8,3,31,110,미국,기타,코미디,청소년관람불가,기타,,19,0,0,25288
기타,9,3,36,77,기타,기타,어드벤처,전체관람가,기타,,7,28,0,25278
기타,5,2,20,113,미국,유니버설픽쳐스인터내셔널 코리아(유),어드벤처,15세이상관람가,기타,,90,498,1,25260
기타,3,1,12,72,기타,기타,애니메이션,전체관람가,기타,0,15,17,0,25149
기타,3,1,12,80,러시아,기타,애니메이션,전체관람가,기타,,5,17,0,24968
기타,1,1,2,88,일본,기타,애니메이션,12세이상관람가,기타,1,40,1070,0,24898
기타,11,4,47,100,한국,CGV아트하우스,드라마,12세이상관람가,기타,0,49,800,0,24823
기타,7,3,27,115,프랑스,기타,드라마,청소년관람불가,기타,,50,0,1,24815
기타,12,4,51,74,한국,롯데쇼핑㈜롯데엔터테인먼트,애니메이션,전체관람가,기타,,36,793,0,24810
기타,4,2,14,80,기타,기타,애니메이션,전체관람가,기타,,18,170,0,24799
기타,2,1,8,77,호주,기타,애니메이션,전체관람가,기타,,15,58,0,24787
기타,2,1,6,82,핀란드,기타,애니메이션,전체관람가,기타,,22,222,0,24658
기타,2,1,9,106,일본,기타,애니메이션,전체관람가,기타,,10,1,0,24640
기타,3,1,13,118,영국,기타,스릴러,청소년관람불가,기타,0,172,1102,1,24600
기타,1,1,4,98,미국,기타,멜로,청소년관람불가,기타,0,10,0,0,24579
방은진,11,4,44,81,한국,기타,드라마,15세이상관람가,기타,0,405,3010,0,24573
기타,6,2,26,64,일본,기타,애니메이션,15세이상관람가,기타,,55,1039,0,24492
기타,1,1,1,102,영국,기타,드라마,12세이상관람가,기타,,250,784,0,24466
기타,8,3,33,96,한국,메가박스중앙(주)플러스엠,애니메이션,전체관람가,기타,0,180,502,0,24451
기타,1,1,5,119,일본,기타,애니메이션,15세이상관람가,기타,,239,4770,0,24450
기타,11,4,45,163,일본,기타,코미디,12세이상관람가,기타,0,513,0,0,24444
기타,7,3,30,126,일본,기타,드라마,청소년관람불가,기타,0,20,264,1,24381
기타,10,4,41,85,미국,기타,공포,15세이상관람가,기타,,184,147,0,24379
기타,8,3,33,84,영국,씨제이이앤엠(주),다큐멘터리,전체관람가,기타,,61,0,0,24348
기타,12,4,49,74,프랑스,기타,애니메이션,전체관람가,기타,,43,0,0,24346
기타,8,3,35,81,러시아,기타,애니메이션,전체관람가,기타,,80,134,0,24319
기타,5,2,22,104,한국,기타,드라마,청소년관람불가,기타,0,74,543,0,24272
쉐인 블랙,7,3,27,115,미국,메가박스중앙(주)플러스엠,범죄,청소년관람불가,기타,0,35,434,0,24268
기타,2,1,8,96,한국,기타,다큐멘터리,전체관람가,기타,,146,0,0,24163
기타,2,1,7,100,일본,기타,애니메이션,전체관람가,기타,,19,89,0,24125
기타,9,3,39,80,중국,기타,애니메이션,전체관람가,기타,,63,179,0,24111
기타,2,1,6,134,미국,기타,드라마,청소년관람불가,기타,0,78,269,0,24083
기타,11,4,44,84,미국,기타,애니메이션,전체관람가,기타,,13,50,0,24019
기타,12,4,49,81,한국,기타,드라마,전체관람가,기타,,429,8543,0,23926
기타,12,4,50,106,미국,CGV아트하우스,드라마,12세이상관람가,기타,,44,0,0,23883
기타,5,2,18,106,벨기에,기타,드라마,12세이상관람가,기타,0,12,182,0,23827
기타,5,2,21,78,한국,기타,애니메이션,12세이상관람가,기타,,415,2658,0,23721
기타,1,1,3,87,벨기에,기타,드라마,12세이상관람가,기타,0,4,0,0,23688
기타,7,3,27,124,덴마크,CGV아트하우스,드라마,청소년관람불가,기타,1,20,127,0,23641
이재한,4,2,15,133,한국,씨제이엔터테인먼트,드라마,청소년관람불가,기타,,29,0,1,23605
기타,10,4,43,94,미국,(주)인벤트스톤,코미디,청소년관람불가,크리스 에반스,0,533,1102,0,23597
기타,5,2,22,114,일본,기타,애니메이션,15세이상관람가,기타,,159,1667,0,23586
기타,11,4,46,98,한국,기타,멜로,청소년관람불가,기타,0,38,713,0,23555
기타,1,1,5,73,미국,기타,애니메이션,전체관람가,기타,,53,0,0,23530
기타,6,2,26,129,영국,기타,드라마,15세이상관람가,기타,0,24,0,0,23509
기타,3,1,12,111,일본,기타,애니메이션,전체관람가,기타,,63,1479,0,23496
기타,1,1,2,100,일본,기타,애니메이션,전체관람가,기타,,64,0,0,23493
기타,8,3,34,86,영국,오퍼스픽쳐스(유),공포,청소년관람불가,기타,,563,2282,0,23467
기타,12,4,50,99,미국,씨너스엔터테인먼트(주),액션,15세이상관람가,기타,,114,0,0,23462
기타,2,1,6,90,독일,기타,스릴러,15세이상관람가,기타,0,33,617,0,23450
기타,6,2,26,60,영국,기타,애니메이션,전체관람가,기타,,9,161,0,23395
기타,11,4,47,96,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,청소년관람불가,김무열,0,,,,23390
배리 소넨필드,10,4,42,86,프랑스,기타,코미디,전체관람가,기타,0,216,987,0,23350
기타,3,1,12,98,영국,기타,액션,15세이상관람가,기타,,228,723,0,23306
기타,9,3,37,93,아르헨티나,기타,코미디,15세이상관람가,기타,,33,0,0,23233
에릭 토레다노/올리비에르 나카체,5,2,22,115,프랑스,기타,코미디,전체관람가,기타,,24,55,0,23193
기타,2,1,8,107,기타,기타,드라마,청소년관람불가,기타,0,42,381,0,23148
기타,4,2,14,81,이탈리아,기타,애니메이션,전체관람가,기타,,152,187,0,23084
기타,3,1,11,118,미국,기타,코미디,12세이상관람가,기타,,52,240,0,23058
기타,12,4,52,100,일본,기타,애니메이션,전체관람가,기타,,42,0,0,23057
기타,8,3,33,75,미국,기타,애니메이션,전체관람가,기타,,18,0,0,23021
기타,1,1,3,83,독일,기타,애니메이션,전체관람가,기타,0,126,366,1,23014
기타,11,4,46,108,한국,필라멘트픽쳐스,드라마,12세이상관람가,기타,0,140,2564,0,22893
김태균,4,2,17,109,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,전체관람가,기타,0,15,0,0,22870
기타,3,1,11,101,미국,(주)인벤트스톤,액션,청소년관람불가,기타,,272,0,0,22771
기타,5,2,22,142,미국,기타,스릴러,15세이상관람가,기타,0,80,164,0,22770
기타,4,2,15,100,일본,기타,애니메이션,전체관람가,기타,,14,91,0,22767
기타,10,4,43,116,한국,기타,미스터리,12세이상관람가,기타,0,59,1272,0,22752
기타,5,2,18,95,영국,판씨네마(주),드라마,15세이상관람가,기타,,58,311,0,22745
기타,10,4,43,89,기타,기타,애니메이션,전체관람가,기타,,13,134,0,22716
기타,2,1,9,77,중국,기타,애니메이션,전체관람가,기타,,0,9,0,22695
기타,10,4,41,98,한국,기타,가족,전체관람가,기타,0,668,0,0,22617
기타,8,3,31,88,영국,기타,드라마,청소년관람불가,기타,0,10,263,0,22613
기타,9,3,36,162,인도,기타,드라마,전체관람가,기타,,34,0,0,22612
기타,8,3,35,102,독일,기타,다큐멘터리,전체관람가,기타,,8,0,0,22600
기타,9,3,39,108,한국,기타,멜로,청소년관람불가,기타,0,68,0,0,22526
기타,4,2,14,81,미국,기타,다큐멘터리,전체관람가,기타,,34,287,0,22466
기타,7,3,30,128,미국,CGV아트하우스,드라마,청소년관람불가,기타,0,76,1187,0,22453
기타,5,2,20,94,일본,기타,애니메이션,12세이상관람가,기타,,117,317,0,22407
기타,8,3,35,107,홍콩,기타,액션,15세이상관람가,기타,0,156,608,0,22350
기타,12,4,52,93,미국,기타,드라마,15세이상관람가,기타,0,11,63,0,22348
기타,3,1,13,112,영국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,기타,0,12,504,0,22342
기타,3,1,12,90,프랑스,판씨네마(주),코미디,12세이상관람가,기타,0,12,392,0,22173
기타,6,2,22,73,한국,기타,애니메이션,전체관람가,기타,0,194,366,0,22110
기타,3,1,11,104,미국,유니버설픽쳐스인터내셔널 코리아(유),드라마,15세이상관람가,기타,,55,19,0,22091
