TOP_DIRECTOR,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,TOP_ACTOR,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
데이빗 예이츠,7,3,28,131,미국,워너브러더스 코리아(주),판타지,전체관람가,다니엘 래드클리프,,1746,0,1,4400298
브라이언 싱어,5,2,21,134,미국,이십세기폭스코리아(주),액션,12세이상관람가,휴 잭맨,1,692,4066,1,4313871
박찬욱,6,2,22,144,한국,씨제이이앤엠(주),스릴러,청소년관람불가,김민희,0,438,21671,1,4277071
마크 웹,4,2,17,142,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,12세이상관람가,앤드류 가필드,1,693,3680,0,4168350
원신연,12,4,52,137,한국,(주)쇼박스,액션,15세이상관람가,공유,0,931,0,0,4131248
이용주,3,1,12,118,한국,롯데쇼핑㈜롯데엔터테인먼트,멜로,12세이상관람가,엄태웅,0,567,0,0,4110645
이석훈,1,1,3,124,한국,씨제이이앤엠(주),코미디,12세이상관람가,황정민,0,191,0,0,4057546
장창원,11,4,47,116,한국,(주)쇼박스,범죄,15세이상관람가,현빈,0,322,6730,0,4018341
맷 리브스,7,3,28,130,미국,이십세기폭스코리아(주),액션,12세이상관람가,앤디 서키스,1,354,2984,0,4002134
강형철,9,3,36,147,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,청소년관람불가,최승현,1,3451,7157,1,4001813
알레산드로 칼로니/여인영,1,1,4,94,미국,씨제이이앤엠(주),애니메이션,전체관람가,잭 블랙,1,222,12441,0,3984812
안소니 루소/조 루소,3,1,13,135,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,15세이상관람가,크리스 에반스,1,434,1969,1,3963220
조진규,1,1,2,128,한국,(주)쇼박스,코미디,15세이상관람가,박신양,0,823,0,0,3893216
